150
(88, 147, 1)
(48, 112, 2)
(80, 139, 3)
(59, 78, 4)
(33, 122, 5)
(45, 111, 6)
(60, 118, 7)
(49, 116, 8)
(41, 137, 9)
(63, 76, 10)
(61, 129, 11)
(13, 17, 12)
(101, 111, 13)
(94, 95, 14)
(33, 41, 15)
(114, 129, 16)
(89, 111, 17)
(34, 35, 18)
(96, 126, 19)
(19, 66, 20)
(73, 144, 21)
(49, 78, 22)
(7, 55, 23)
(24, 104, 24)
(72, 109, 25)
(43, 104, 26)
(83, 122, 27)
(142, 146, 28)
(22, 144, 29)
(29, 140, 30)
(65, 115, 31)
(56, 141, 32)
(62, 80, 33)
(28, 46, 34)
(131, 144, 35)
(146, 148, 36)
(102, 133, 37)
(91, 131, 38)
(139, 141, 39)
(2, 6, 40)
(41, 97, 41)
(40, 76, 42)
(12, 45, 43)
(19, 112, 44)
(68, 111, 45)
(69, 103, 46)
(105, 137, 47)
(43, 119, 48)
(13, 114, 49)
(45, 51, 50)
(119, 132, 51)
(103, 119, 52)
(55, 144, 53)
(30, 143, 54)
(23, 81, 55)
(84, 149, 56)
(96, 142, 57)
(6, 129, 58)
(143, 149, 59)
(117, 130, 60)
(26, 67, 61)
(0, 141, 62)
(67, 117, 63)
(95, 140, 64)
(145, 149, 65)
(71, 94, 66)
(6, 148, 67)
(42, 52, 68)
(66, 108, 69)
(73, 127, 70)
(9, 88, 71)
(43, 57, 72)
(134, 144, 73)
(66, 93, 74)
(14, 112, 75)
(70, 125, 76)
(123, 142, 77)
(52, 85, 78)
(60, 125, 79)
(85, 118, 80)
(14, 50, 81)
(81, 107, 82)
(2, 95, 83)
(76, 135, 84)
(0, 49, 85)
(38, 89, 86)
(1, 73, 87)
(8, 28, 88)
(74, 90, 89)
(52, 110, 90)
(22, 62, 91)
(104, 110, 92)
(125, 135, 93)
(20, 66, 94)
(77, 100, 95)
(22, 69, 96)
(45, 123, 97)
(35, 127, 98)
(33, 83, 99)
(31, 56, 100)
(20, 115, 101)
(135, 138, 102)
(41, 146, 103)
(2, 79, 104)
(121, 131, 105)
(71, 87, 106)
(144, 146, 107)
(37, 125, 108)
(64, 130, 109)
(16, 113, 110)
(6, 73, 111)
(59, 86, 112)
(28, 49, 113)
(24, 28, 114)
(55, 92, 115)
(98, 104, 116)
(39, 134, 117)
(19, 90, 118)
(51, 100, 119)
(99, 107, 120)
(100, 123, 121)
(97, 111, 122)
(17, 84, 123)
(28, 60, 124)
(36, 141, 125)
(129, 147, 126)
(64, 127, 127)
(42, 128, 128)
(9, 56, 129)
(147, 148, 130)
(21, 77, 131)
(17, 110, 132)
(25, 118, 133)
(124, 146, 134)
(127, 134, 135)
(67, 121, 136)
(98, 115, 137)
(14, 144, 138)
(113, 124, 139)
(26, 122, 140)
(106, 145, 141)
(6, 136, 142)
(112, 125, 143)
(36, 113, 144)
(72, 126, 145)
(80, 117, 146)
(138, 148, 147)
(66, 89, 148)
(118, 134, 149)
(39, 60, 150)
(39, 75, 151)
(78, 105, 152)
(126, 141, 153)
(20, 122, 154)
(25, 144, 155)
(10, 37, 156)
(20, 56, 157)
(81, 138, 158)
(82, 145, 159)
(57, 64, 160)
(47, 61, 161)
(91, 106, 162)
(115, 131, 163)
(10, 149, 164)
(37, 53, 165)
(65, 75, 166)
(28, 38, 167)
(46, 92, 168)
(55, 115, 169)
(22, 130, 170)
