200
(158, 193, 1)
(0, 175, 2)
(110, 190, 3)
(147, 176, 4)
(20, 162, 5)
(39, 70, 6)
(80, 125, 7)
(29, 44, 8)
(67, 137, 9)
(53, 166, 10)
(57, 163, 11)
(5, 195, 12)
(119, 165, 13)
(123, 174, 14)
(19, 91, 15)
(38, 149, 16)
(76, 88, 17)
(80, 155, 18)
(137, 164, 19)
(156, 192, 20)
(86, 129, 21)
(14, 162, 22)
(8, 87, 23)
(65, 154, 24)
(32, 77, 25)
(71, 100, 26)
(109, 177, 27)
(146, 189, 28)
(166, 184, 29)
(95, 98, 30)
(98, 194, 31)
(4, 35, 32)
(99, 103, 33)
(8, 38, 34)
(32, 188, 35)
(142, 177, 36)
(94, 174, 37)
(98, 181, 38)
(61, 63, 39)
(8, 181, 40)
(27, 115, 41)
(84, 128, 42)
(47, 124, 43)
(13, 188, 44)
(51, 121, 45)
(108, 126, 46)
(41, 179, 47)
(61, 144, 48)
(108, 141, 49)
(3, 11, 50)
(60, 104, 51)
(26, 168, 52)
(46, 175, 53)
(84, 102, 54)
(140, 144, 55)
(70, 81, 56)
(93, 144, 57)
(3, 152, 58)
(22, 148, 59)
(12, 90, 60)
(36, 80, 61)
(79, 82, 62)
(106, 156, 63)
(16, 172, 64)
(35, 152, 65)
(55, 197, 66)
(130, 188, 67)
(150, 187, 68)
(45, 47, 69)
(49, 52, 70)
(139, 182, 71)
(35, 105, 72)
(1, 137, 73)
(21, 198, 74)
(1, 58, 75)
(115, 132, 76)
(25, 172, 77)
(44, 120, 78)
(48, 123, 79)
(105, 126, 80)
(68, 118, 81)
(34, 162, 82)
(129, 158, 83)
(148, 174, 84)
(78, 171, 85)
(81, 133, 86)
(7, 149, 87)
(10, 139, 88)
(77, 81, 89)
(63, 130, 90)
(10, 26, 91)
(105, 152, 92)
(162, 177, 93)
(111, 150, 94)
(138, 166, 95)
(0, 139, 96)
(76, 158, 97)
(39, 106, 98)
(5, 150, 99)
(43, 111, 100)
(63, 96, 101)
(29, 48, 102)
(33, 53, 103)
(29, 161, 104)
(33, 166, 105)
(15, 114, 106)
(109, 115, 107)
(19, 119, 108)
(76, 124, 109)
(42, 60, 110)
(80, 135, 111)
(5, 72, 112)
(137, 192, 113)
(14, 190, 114)
(113, 193, 115)
(4, 112, 116)
(65, 102, 117)
(28, 110, 118)
(89, 104, 119)
(71, 72, 120)
