75
(26, 19, 2186)
(19, 12, 2260)
(12, 38, 1912)
(38, 3, 1139)
(3, 0, 467)
(0, 72, 196)
(72, 7, 197)
(7, 52, 1961)
(52, 59, 1830)
(59, 66, 2157)
(66, 48, 576)
(48, 55, 381)
(55, 73, 2482)
(73, 60, 558)
(60, 37, 2635)
(37, 29, 1477)
(29, 21, 2452)
(21, 9, 2041)
(9, 23, 1043)
(23, 58, 1550)
(58, 18, 1429)
(18, 1, 34)
(1, 65, 416)
(65, 54, 1258)
(54, 17, 2643)
(17, 43, 1544)
(43, 34, 431)
(34, 2, 2396)
(2, 36, 1007)
(36, 14, 1800)
(14, 22, 55)
(22, 35, 460)
(35, 13, 2490)
(13, 44, 1131)
(44, 32, 739)
(32, 24, 2262)
(24, 68, 1563)
(68, 28, 1838)
(28, 57, 767)
(57, 71, 2612)
(71, 69, 1612)
(69, 62, 356)
(62, 45, 223)
(45, 47, 2560)
(47, 67, 2371)
(67, 64, 229)
(64, 51, 389)
(51, 33, 1637)
(33, 49, 2385)
(49, 31, 805)
(31, 40, 2693)
(40, 42, 1431)
(42, 8, 2533)
(8, 41, 1145)
(41, 16, 2167)
(16, 4, 839)
(4, 74, 2488)
(74, 50, 1585)
(50, 15, 434)
(15, 63, 2089)
(63, 25, 2279)
(25, 6, 1488)
(6, 20, 657)
(20, 11, 1942)
(11, 61, 1698)
(61, 70, 73)
(70, 39, 1586)
(39, 27, 1722)
(27, 30, 620)
(30, 5, 492)
(5, 46, 551)
(46, 10, 1054)
(10, 53, 938)
(53, 56, 1355)
(56, 26, 1011)
